replica_id,f_dps,source_metadata
74,0.154782636856,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_007/attempt_000074/metadata.txt
80,0.173461448857,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_008/attempt_000080/metadata.txt
81,0.25676960709,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_008/attempt_000081/metadata.txt
82,0.263786807872,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_008/attempt_000082/metadata.txt
83,0.0546410235087,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_008/attempt_000083/metadata.txt
84,0.261948128681,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_008/attempt_000084/metadata.txt
90,0.12788424308,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_009/attempt_000090/metadata.txt
91,0.0566772570554,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_009/attempt_000091/metadata.txt
92,0.208160999623,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_009/attempt_000092/metadata.txt
93,0.208035569486,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_009/attempt_000093/metadata.txt
94,0.0707087622884,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_009/attempt_000094/metadata.txt
100,0.182957360448,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_010/attempt_000100/metadata.txt
101,0.154613587163,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_010/attempt_000101/metadata.txt
102,0.192004553015,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_010/attempt_000102/metadata.txt
103,0.221466961145,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_010/attempt_000103/metadata.txt
104,0.0999686010215,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_010/attempt_000104/metadata.txt
110,0.132998476368,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_011/attempt_000110/metadata.txt
111,0.0912115910113,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_011/attempt_000111/metadata.txt
112,0.120767514954,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_011/attempt_000112/metadata.txt
113,0.0950816065915,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_011/attempt_000113/metadata.txt
114,0.0740213315852,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_011/attempt_000114/metadata.txt
120,0.199641855526,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_012/attempt_000120/metadata.txt
121,0.0936035187981,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_012/attempt_000121/metadata.txt
122,0.105418364347,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_012/attempt_000122/metadata.txt
123,0.202445200998,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_012/attempt_000123/metadata.txt
124,0.321897836028,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_012/attempt_000124/metadata.txt
130,0.0821153957625,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_013/attempt_000130/metadata.txt
131,0.205700481194,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_013/attempt_000131/metadata.txt
132,0.189596318446,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_013/attempt_000132/metadata.txt
133,0.141329072208,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_013/attempt_000133/metadata.txt
134,0.166717348406,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_013/attempt_000134/metadata.txt
140,0.13759914944,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_014/attempt_000140/metadata.txt
141,0.106425956477,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_014/attempt_000141/metadata.txt
142,0.252352212001,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_014/attempt_000142/metadata.txt
143,0.17023547066,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_014/attempt_000143/metadata.txt
144,0.0925388314779,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_014/attempt_000144/metadata.txt
150,0.124840881275,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_015/attempt_000150/metadata.txt
151,0.139516910326,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_015/attempt_000151/metadata.txt
152,0.21222307711,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_015/attempt_000152/metadata.txt
153,0.205696392514,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_015/attempt_000153/metadata.txt
154,0.202429201491,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_015/attempt_000154/metadata.txt
160,0.193312147181,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_016/attempt_000160/metadata.txt
161,0.233194005504,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_016/attempt_000161/metadata.txt
162,0.196610217565,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_016/attempt_000162/metadata.txt
163,0.190232614756,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_016/attempt_000163/metadata.txt
164,0.213737393117,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_016/attempt_000164/metadata.txt
170,0.216390792912,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_017/attempt_000170/metadata.txt
171,0.161267757505,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_017/attempt_000171/metadata.txt
172,0.163491101164,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_017/attempt_000172/metadata.txt
173,0.180523143064,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_017/attempt_000173/metadata.txt
174,0.273809683641,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_017/attempt_000174/metadata.txt
180,0.171045777595,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_018/attempt_000180/metadata.txt
181,0.20129257257,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_018/attempt_000181/metadata.txt
182,0.124973229701,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_018/attempt_000182/metadata.txt
183,0.275264346276,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_018/attempt_000183/metadata.txt
184,0.0733999709139,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_018/attempt_000184/metadata.txt
190,0.179225491385,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_019/attempt_000190/metadata.txt
191,0.142976026441,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_019/attempt_000191/metadata.txt
192,0.25712815923,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_019/attempt_000192/metadata.txt
193,0.236901470629,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_019/attempt_000193/metadata.txt
194,0.196849952031,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_019/attempt_000194/metadata.txt
200,0.112404960862,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_020/attempt_000200/metadata.txt
201,0.232512350556,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_020/attempt_000201/metadata.txt
202,0.156809757641,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_020/attempt_000202/metadata.txt
203,0.163168336396,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_020/attempt_000203/metadata.txt
204,0.15873926002,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_020/attempt_000204/metadata.txt
210,0.160562102491,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_021/attempt_000210/metadata.txt
211,0.091504189665,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_021/attempt_000211/metadata.txt
212,0.142953408766,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_021/attempt_000212/metadata.txt
213,0.0836409478545,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_021/attempt_000213/metadata.txt
214,0.278125857299,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_021/attempt_000214/metadata.txt
220,0.13509136547,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_022/attempt_000220/metadata.txt
221,0.161984458701,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_022/attempt_000221/metadata.txt
222,0.141303631187,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_022/attempt_000222/metadata.txt
223,0.164907297124,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_022/attempt_000223/metadata.txt
224,0.162838278195,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_022/attempt_000224/metadata.txt
230,0.246246283642,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_023/attempt_000230/metadata.txt
231,0.124634262406,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_023/attempt_000231/metadata.txt
232,0.155955427898,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_023/attempt_000232/metadata.txt
233,0.0833473870256,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_023/attempt_000233/metadata.txt
234,0.148160584403,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_023/attempt_000234/metadata.txt
240,0.205338702994,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_024/attempt_000240/metadata.txt
241,0.241654793705,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_024/attempt_000241/metadata.txt
242,0.150935954388,tests/atlas_data_driven_sps/results/route9p3_global_calibrated_allpairs/bootstrap_fixed500_global_nominal_v1/job_024/attempt_000242/metadata.txt
